Sample,Rep,lLR,Eff,Pr,St,NC,TC,TotDNA,amtDNA,C1,C2,C3,C4,D1,D2,D3,D4,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,VWA
11,1,7.61,0.396,likeLTD,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,-0.00915,1.32,0.33,0.785,0.317,1.31,1.52,0.961,0.022,-2.51,0.787,0.499,0.379,1.35,0.554
11,1,9.5,0.495,likeLTD,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.0522,1.36,0.342,0.964,0.254,1.42,1.64,0.887,0.0444,-0.715,0.708,0.639,0.299,0.967,0.643
11,1,10.29904487,0.536,EFM,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.170355282,1.425760344,0.505375702,0.953070422,0.276205915,1.503071416,1.649178779,0.796563954,0.048909487,0.326973919,0.57217273,0.693253148,0.405796643,0.339354096,0.633003033
11,1,10.78199122,0.562,EFM,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.174529111,1.402323658,0.480062581,0.982594836,0.260274763,1.548979328,1.644796338,0.875445519,0.02228945,0.32665624,0.57089048,0.732717486,0.362588182,0.777696056,0.620147189
12,2,9.67,0.504,likeLTD,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.149,1.48,0.418,1.05,-0.131,1.64,1.98,0.711,-0.152,-0.867,0.881,0.67,0.479,0.691,0.663
12,2,10.73296972,0.559,EFM,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.178057872,1.37513767,0.48723761,0.978927122,0.266005862,1.569722972,1.70172885,0.880961964,0.043675443,0.296093507,0.525137049,0.703590678,0.371480449,0.743519205,0.611693469
12,2,10.73205122,0.559,EFM,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.183407194,1.367630051,0.474825128,0.987337916,0.26522444,1.578148671,1.677718426,0.867088054,0.036875253,0.322269913,0.529154007,0.733152018,0.342913946,0.754516718,0.61178948
12,2,9.49,0.494,likeLTD,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.261,1.53,0.449,0.956,-0.135,1.62,2.01,0.89,-0.336,-1.53,1,0.641,0.751,0.799,0.584
13,3,-1.02,-0.0531,likeLTD,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,-0.823,-5.67,0.149,0.582,-0.38,0.35,0.142,0.522,-0.0703,-0.421,0.769,1.57,0.348,1.59,0.317
13,3,-0.22237903,-0.0116,EFM,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,-0.431559933,-6.605170109,0.021996868,1.003653685,-0.388327496,0.515342153,0.621903515,0.846275536,-0.309721681,-0.035069053,0.954892022,1.369676355,0.556844249,1.381800075,0.275084786
13,3,9.43,0.491,likeLTD,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.101,1.37,0.449,1.1,0.207,1.49,1.78,0.833,0.0163,-0.921,0.731,0.599,0.291,0.669,0.718
13,3,10.8766401,0.566,EFM,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.156509366,1.391598174,0.485083076,1.030518008,0.248219798,1.572498044,1.664695432,0.913425428,1.69e-4,0.322000354,0.641756634,0.716288571,0.413715615,0.723563545,0.596599092
14,4,9.92,0.517,likeLTD,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.118,1.44,0.466,0.992,0.429,1.25,1.82,1.06,0.234,-0.941,0.759,0.656,0.385,0.698,0.563
14,4,10.79624282,0.562,EFM,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.190986556,1.418879527,0.505104967,0.997116283,0.236878821,1.701425387,1.742523641,0.813198745,-0.117099714,0.359370483,0.539984473,0.723338286,0.302040127,0.74030616,0.642189074
14,4,10.87223766,0.566,EFM,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.230707327,1.456732286,0.493673779,0.998796904,0.212791443,1.748660983,1.758966116,0.764714336,-0.083002822,0.355230614,0.530125221,0.72895762,0.319108845,0.710060015,0.646714987
14,4,9.37,0.488,likeLTD,Present,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.303,1.27,0.417,0.843,0.57,0.916,1.62,1.04,0.415,-1.25,0.572,0.705,0.729,0.776,0.447
15,5,15,0.781,likeLTD,Absent,2,B,500,250,C,B,NA,NA,1,1,NA,NA,0.563,2.18,0.742,1.1,0.567,2.07,1.84,0.885,0.292,0.692,0.944,0.649,0.936,0.884,0.67
