Sample,Rep,lLR,Eff,Pr,St,NC,TC,TotDNA,amtDNA,C1,C2,C3,C4,D1,D2,D3,D4,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,VWA
1,1,10.6651959811528,0.607,EFM,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.595465462019567,1.05341324814174,0.448985089939377,0.923573152682848,0.457362174576224,1.17797799183607,1.27641510108845,0.192922689766582,0.848226237082402,0.892195001475717,0.700973538676462,0.463640847293878,0.372868924652928,0.377653459780816,0.883523062139783
1,1,11.3,0.644,likeLTD,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.649,1.08,0.481,1.13,0.245,1.2,1.28,0.524,0.814,0.994,0.785,0.451,0.33,0.354,0.99
1,1,9.91001817171321,0.605,EFM,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.66584601297569,0.656570577496206,0.724264071376229,1.19039135445539,0.267250886325435,0.87691058328752,0.470437822717185,0.536551419841713,0.837387588184148,1.52640300613256,0.742530309351351,0.558671589598861,-0.217013067725763,0.384342512579911,0.689473505116772
1,1,10.094344513127,0.616,EFM,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.682562714326182,0.698227188602441,0.658822829817064,1.09645015063815,0.236372833238108,0.83481446389776,0.684993603008117,0.488317213845291,0.854762069178832,1.51236939168323,0.660761452576909,0.634774300890831,0.0854739206680664,0.330225362632439,0.635417018123605
1,1,11.6095746122197,0.661,EFM,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.682592710471447,1.13744551922193,0.402067031381434,1.22174493718802,0.361533436193609,1.1719135366351,1.39771987152562,0.406278767742323,0.835882152044317,0.968022813943896,0.793252677152676,0.527704381318651,0.356284698960078,0.364703420139749,0.98242865830089
1,1,10.1,0.617,likeLTD,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.685,0.68,0.727,1.14,0.0917,0.87,0.445,0.726,0.828,1.48,0.748,0.576,0.16,0.362,0.622
1,1,10.4,0.635,likeLTD,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.689,0.807,0.588,1.16,0.0875,0.831,0.736,0.699,0.834,1.41,0.769,0.621,0.233,0.322,0.604
1,1,11.7,0.666,likeLTD,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.712,1.18,0.395,1.27,0.308,1.15,1.41,0.507,0.845,0.924,0.791,0.513,0.391,0.35,0.99
2,2,10.2,0.623,likeLTD,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.653,0.687,0.693,1.06,0.214,0.812,0.611,0.66,0.855,1.57,0.755,0.516,0.0891,0.403,0.613
2,2,11.4,0.649,likeLTD,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.658,1.04,0.527,1.21,0.433,1.16,1.3,0.402,0.807,1.03,0.73,0.406,0.242,0.389,1.03
2,2,10.2,0.623,likeLTD,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.659,0.706,0.7,1.04,0.178,0.847,0.612,0.689,0.8,1.55,0.808,0.481,0.137,0.382,0.609
2,2,10.1876822981789,0.622,EFM,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.668024770287022,0.689429375585874,0.706661794500805,1.00828770808613,0.226093081214595,0.83156693782565,0.662616501266886,0.644959008832213,0.834875899360311,1.53893845901016,0.735488321412942,0.517603300256431,0.116731561466545,0.404444837408666,0.601960741664702
2,2,10.2230625405373,0.624,EFM,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.669088613040994,0.694943981950007,0.71010351410705,1.03176406368279,0.245131864319518,0.832288784274123,0.652694324360597,0.662454086465265,0.829699452062699,1.52860642772757,0.749444317415076,0.539360422335233,0.078232399900018,0.392517276288962,0.606733012607442
2,2,11.2933860277256,0.643,EFM,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.671026715687671,1.04384587234843,0.547923216130749,1.12205243100278,0.449459705654618,1.17050438516087,1.35071239020716,0.356116586273624,0.826706773986978,1.01704642510995,0.684259383899186,0.41332793389586,0.261532719863504,0.382869521110991,0.996001967393272
2,2,11.1860107616483,0.637,EFM,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.675758034129752,1.03973961891728,0.545703047364321,1.13282515997439,0.489447728053917,1.1652620354289,1.34472310656122,0.295969141776534,0.81247978766665,0.989372399262417,0.634978300875341,0.426323699056388,0.269583201203841,0.370596052493442,0.993249448883937
2,2,11.4,0.649,likeLTD,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.716,1.05,0.54,1.15,0.401,1.17,1.3,0.463,0.89,0.984,0.755,0.363,0.243,0.367,1
3,3,11.1055557648458,0.632,EFM,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.657933297075383,1.03262999448502,0.502808904922277,1.10946694801218,0.480629510013598,1.19610400029326,1.24025751680644,0.21579265781594,0.83362958488652406,0.997909184147125,0.709969305042415,0.460934860954049,0.307175973569686,0.373412508727593,0.986901518094271
3,3,10.0012887495669,0.611,EFM,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.658762165455983,0.647698066520108,0.692638297311166,1.11699479676751,0.268698288367519,0.868405361856658,0.61133842939034,0.52165269434295,0.834528867056497,1.45741519487959,0.707970585848359,0.585223039814999,0.0310172529065702,0.374058428587521,0.624887280461099
3,3,10.0025881444835,0.611,EFM,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.659097969240582,0.669697764488921,0.687919659867973,1.0828963032957,0.268538554544239,0.870838229090017,0.585763048550437,0.512704449237863,0.836531014724508,1.48627759118514,0.709159415330036,0.561996782341347,0.0818707048608532,0.370528404030201,0.618768253695669
3,3,11.23521966817,0.64,EFM,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.6623699899163,1.04282042604001,0.506799143898132,1.1739292500943601,0.477012601085612,1.19602232261807,1.23761551002002,0.267068986831168,0.833421980234573,1.01860130363542,0.731369803722026,0.446749584367834,0.285604304354705,0.357635024906277,0.998199436445475
3,3,10.1,0.617,likeLTD,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.683,0.678,0.669,1.15,0.238,0.882,0.592,0.501,0.804,1.45,0.761,0.536,0.184,0.376,0.624
3,3,11.4,0.649,likeLTD,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.683,1.06,0.488,1.28,0.499,1.23,1.26,0.217,0.85,0.904,0.776,0.44,0.303,0.387,1.05
3,3,11.3,0.644,likeLTD,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.684,1.05,0.502,1.23,0.468,1.2,1.27,0.23,0.838,0.967,0.77,0.43,0.314,0.372,1.02
3,3,10.2,0.623,likeLTD,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.695,0.72,0.679,1.14,0.276,0.906,0.61,0.45,0.808,1.41,0.766,0.527,0.187,0.372,0.65
4,4,11.1,0.632,likeLTD,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.563,1.06,0.429,1.13,0.845,1.11,0.897,0.263,0.858,1.07,0.719,0.448,0.454,0.329,0.948
4,4,10.9,0.621,likeLTD,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.569,1.03,0.517,1.06,0.689,1.17,1.24,0.102,0.837,0.849,0.805,0.49,0.228,0.4,0.94
4,4,10.2682954900695,0.585,EFM,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.579367372848332,1.04632781691217,0.516755869460482,0.888667207175661,0.484239059234345,1.17876033623623,1.23357014439596,0.0907902850085815,0.835895603751443,0.767626277519446,0.686286759769037,0.441810378541888,0.303461655672318,0.4040360541271,0.810700669416557
4,4,10,0.611,likeLTD,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.599,0.691,0.597,1.15,0.305,0.797,0.0847,0.698,0.789,1.67,0.776,0.593,0.348,0.359,0.59
4,4,10.9666015300971,0.625,EFM,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.656686316873241,1.00795463909986,0.493830424357749,1.09098285091907,0.470100544011579,1.18738876484333,1.28233347555692,0.231722150964326,0.848922000113307,0.925111897749213,0.745001289401402,0.471014921570526,0.218532351862751,0.397015006790899,0.940004895982915
4,4,10.1199631758001,0.618,EFM,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.658970037292883,0.642641390413504,0.665291024990581,1.16447507006201,0.231280866434018,0.861137580092532,0.454545759984781,0.46180953787372,0.835582301738759,1.53307608265905,0.742540556038122,0.622171490592554,0.187335474586754,0.400142492549482,0.658963510491369
4,4,10.2,0.623,likeLTD,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.676,0.601,0.563,1.23,0.554,0.834,0.1,0.459,0.879,1.67,0.818,0.585,0.191,0.39,0.642
4,4,10.2092107045536,0.623,EFM,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.708670875658745,0.678820145319243,0.609064115022769,1.31158662912373,0.193466022342687,0.879902720024021,0.355593917839901,0.469941769683079,0.878308310081905,1.68328844384585,0.801112124107008,0.540530167494023,-0.0859135723406221,0.42701845368135,0.757820582669876
5,5,11.0319216176754,0.628,EFM,Absent,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.643845257791552,0.965504939514283,0.527184132566437,1.12991487328527,0.530334546236844,1.23606297487273,1.22248765356743,0.153071287539995,0.819027453331088,0.922596952933162,0.724680565856565,0.464550488287612,0.345285593797257,0.395957244549068,0.951417653546053
5,5,10.2,0.623,likeLTD,Absent,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.651,0.815,0.694,1.13,0.255,0.909,0.53,0.821,0.807,1.48,0.791,0.494,-0.175,0.395,0.599
5,5,11.1172701284443,0.633,EFM,Present,2,C,500,250,C,E,NA,NA,1,1,NA,NA,0.655137736641215,0.929124227421056,0.542574169262344,1.14348001982076,0.494147519693703,1.2852361208309,1.20701991093278,0.195944838112727,0.833741632134217,0.926530583658163,0.745910811278944,0.426713696010553,0.367831517807803,0.382413819832642,0.981463525006482
5,5,10.0098996757435,0.611,EFM,Present,2,E,500,250,C,E,NA,NA,1,1,NA,NA,0.656867750144469,0.742272760875103,0.687222747621257,1.07354019972898,0.266832653025702,0.89540756224713,0.515906548119239,0.682347579488525,0.828005210544865,1.4743818969071,0.744542325248305,0.541568025081365,-0.123592382628285,0.413802939013248,0.61079386032653
